epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.0278350075085958,0.5416666666666666,0.9125425656636555,0.7
2,0.8083728790283203,0.7166666666666667,0.6639777739842733,0.7
3,0.5429095347722371,0.7916666666666666,0.46434905131657916,0.7666666666666667
4,0.3740559120972951,0.8666666666666667,0.360704106092453,0.8
5,0.2856362183888753,0.9,0.3086135188738505,0.8333333333333334
6,0.24144931336243947,0.8916666666666667,0.2531323154767354,0.8666666666666667
7,0.18701148827870687,0.9166666666666666,0.23126444419225056,0.8666666666666667
8,0.15985453923543294,0.9166666666666666,0.18983781735102337,0.9333333333333333
9,0.12808157702287037,0.9666666666666667,0.1658376346031825,0.9333333333333333
10,0.11286686658859253,0.9666666666666667,0.14411499003569286,0.9333333333333333
11,0.09612993138531843,0.9583333333333334,0.12682582437992096,0.9333333333333333
12,0.08185630813241004,0.975,0.11634226441383362,0.9333333333333333
13,0.07271152138710021,0.975,0.10637091398239136,0.9333333333333333
14,0.06433415375649928,0.975,0.10227104624112447,0.9333333333333333
15,0.06235683249930541,0.975,0.09809826711813609,0.9333333333333333
16,0.057816889012853305,0.975,0.10112623771031698,0.9333333333333333
17,0.0515788142879804,0.9833333333333333,0.09888951381047567,0.9333333333333333
18,0.05438073190550009,0.975,0.09083756407101949,0.9333333333333333
19,0.05599990471576651,0.975,0.10403551359971365,0.9333333333333333
20,0.05235319000979265,0.9833333333333333,0.08865340848763784,0.9666666666666667
21,0.04344209854801496,0.9833333333333333,0.10808464586734771,0.9666666666666667
22,0.049519296673436956,0.975,0.09043581038713455,0.9333333333333333
23,0.044594600315516195,0.9833333333333333,0.09131206423044205,0.9333333333333333
24,0.04625727833093454,0.9833333333333333,0.09081751257181167,0.9333333333333333
25,0.05034508444368839,0.975,0.09146575679381688,0.9333333333333333
26,0.046467462368309495,0.975,0.08631969889005026,0.9666666666666667
27,0.04877605407188336,0.9833333333333333,0.09718917906284333,0.9333333333333333
28,0.051908849459141496,0.975,0.09120546579360962,0.9666666666666667
29,0.047519043739885095,0.975,0.0876590664188067,0.9333333333333333
30,0.049186378624290227,0.9666666666666667,0.08299667537212371,0.9666666666666667
31,0.04380472369957715,0.975,0.0973361998796463,0.9333333333333333
32,0.043766048302253086,0.975,0.08411831930279731,0.9666666666666667
33,0.040751783596351746,0.9833333333333333,0.0804058978954951,0.9666666666666667
34,0.03800182091072202,0.9833333333333333,0.07988837907711664,0.9333333333333333
35,0.04973356282959382,0.975,0.08869450191656748,0.9333333333333333
36,0.052678899544601636,0.9833333333333333,0.09579017460346222,0.9666666666666667
37,0.051977485433841744,0.975,0.07098248700300852,0.9666666666666667
38,0.041027299128472805,0.975,0.09052945574124655,0.9666666666666667
39,0.04120887049163381,0.975,0.07700805415709813,0.9666666666666667
40,0.038860682607628406,0.9833333333333333,0.08204069981972377,0.9666666666666667
41,0.0395032104725639,0.9833333333333333,0.07970170279343923,0.9666666666666667
42,0.042779695615172385,0.9833333333333333,0.08297446717818578,0.9666666666666667
43,0.03601733399555087,0.9833333333333333,0.07960994789997737,0.9333333333333333
44,0.03950357228362312,0.9833333333333333,0.07894066323836645,0.9666666666666667
45,0.04096377492727091,0.9833333333333333,0.08197263181209564,0.9333333333333333
46,0.03311279096330206,0.9833333333333333,0.09344471047321955,0.9666666666666667
47,0.0425418006372638,0.975,0.08213221430778503,0.9666666666666667
48,0.0380723732834061,0.9833333333333333,0.0778379887342453,0.9666666666666667
49,0.04529018124643092,0.975,0.07897046009699503,0.9666666666666667
50,0.035737922180366394,0.9833333333333333,0.08107410396138827,0.9666666666666667
51,0.03753607099254926,0.9833333333333333,0.07956708098451297,0.9666666666666667
52,0.035072487352105476,0.9833333333333333,0.07896840324004491,0.9333333333333333
53,0.03864832315593958,0.975,0.07645338078339894,0.9666666666666667
54,0.03539852591541906,0.9833333333333333,0.07994801079233488,0.9666666666666667
55,0.03936349831831952,0.975,0.0768189566830794,0.9666666666666667
56,0.04335825475864112,0.9833333333333333,0.06856863846381506,0.9666666666666667
57,0.03660631246554355,0.9833333333333333,0.06968242774407069,0.9666666666666667
58,0.0361049698976179,0.9833333333333333,0.07231524288654327,0.9666666666666667
59,0.040159364021383225,0.975,0.08224230408668518,0.9333333333333333
60,0.03814651887126577,0.975,0.08306086311737697,0.9666666666666667
61,0.03793556681678941,0.9833333333333333,0.08284568786621094,0.9666666666666667
62,0.04782541459426284,0.975,0.08320571035146714,0.9666666666666667
63,0.03742897507424156,0.9833333333333333,0.09330083429813385,0.9333333333333333
64,0.04619625702810784,0.975,0.08096048136552175,0.9666666666666667
65,0.03381741368211806,0.9833333333333333,0.09239008799195289,0.9666666666666667
66,0.038126809743698684,0.9916666666666667,0.07795615792274475,0.9666666666666667
67,0.03626819923520088,0.9833333333333333,0.07433387090762457,0.9666666666666667
68,0.034192593531527864,0.9833333333333333,0.07421422004699707,0.9666666666666667
